ā,吖呵啊𠼞𥥩腌𨉚锕錒阿
mo,怽麿
mōu,哞
móu,件侔劺𠥨呣堥婺𢃱恈𢜯敄㭌桙毋𣫬洠牟眸瞴𥿵䋷繆缪䏬𦭷蛑䗋𧎄𧎻蟱袤謀谋䜼踎鉾鍪䥐𨴍鞪𩢫𩶢䱕鴾麰
mǒu,𠀱厶某畝䍒𦊋𦊎䍙𦋡𦳑
mòu,𥆆𦺒
mú,墲𢘃𢜯模母毪氁𤚅獏𨡭𨢢䱯
mǔ,亩𠺖坶姆姥娒㟂峔𢜯𢟨拇母𣳠牡牳𤝕畆畒畝畞畮𤵝砪胟茻𧩒𧬏𧰷𧿹踇𨈶鉧䥈𩡨𩬍𪎫
mù,仫凩募嘿坶㙁墓婺㜈𡵬幕幙㣎慔慕㧅𣈊暮木朰朷楘樢毣沐炑牟牧狇𤝂㾇目𥄈䀲睦穆𥣸𥰻䊾𦃤縸繆䑵艒苜莫莯𦱒萺蚞𧚀𨍎𨎸鉬钼雮霂鞪𩵦𩶖𩶩鶩
ń,咹哽唔嗯
ň,㕶嗯
ǹ,𠮾哏嗯
n,唵𧗈
nā,南那
ná,呶嗱𡰀𢜲拏拿挐𣸏𤓷𤔀秅䏧𦬻蒘𧘽𧤣訤詉𧦮䛔誽鎿镎䫱
nǎ,乸哪𢡏𣡰𥑒䋈𦙜那郍雫𪐀
nà,内𠕄吶呐𠱲哪𠴾㗙妠娜𡤙𡷝𢇵𢓇抐捺㨥㪎𣅚㮏淰𣹵㵊𤝒𤡤𤬷𤭠𤱅𤱆𤷈𤸏𤸻𥍲笚笝䇱箬䈫𥹉納纳𥿃絮䋾䎎肭䏧𦛐𦣀𦳐蒳䖓䖧𧋡衲袦𧰹豽貀䟜蹃軜那𨙻𨚗鈉钠靹䪏𩏼𩚛𩟿𩮅𩮸魶𩹾𪌅𪗝
na,呐哪
nái,㜨孻掜摨搱熋㾍䍲能腉螚䘅䯮𪌞
nǎi,乃倷𠧟𠧤哪奶妳嬭𢉓廼氖疓𦠸艿𦶅𨎡迺那釢
nài,佴奈𡞫𡨵𡮙𣉘柰㮈㮏𣮦㲡㴎渿𥄗𥉃𦓎耏耐𦔹能萘𦳐螚褦𨒨錼𩹟鼐
nān,囝囡
nán,侽冉㓓南喃娚弇𢪈抩暔枏柟楠𤌔男㽖畘𤱣𤽲莮萳𦶈䔜𧇙𧕴䛁諵遖𨴌𨴘𨵴难難𩹞䶲
nǎn,喃𡆤𡆱𡆲嫨戁揇㫱湳煵䈒䊖罱腩𦝧萳蝻赧𧹞䣸𨠹𨦳䩅𩈑𩈶
nàn,妠婻𢬷攤㫱㬮灘𤿏𦍀𦛚諵䣸难難𩅠
nāng,囊囔蘘
náng,乪噥嚢囊憹搑欜涳䁸𦗳𦣘蠰𧖒譨𩛡饢馕鬞
nǎng,搑擃攮曩𣰶瀼㶞灢𩜒饢馕
nàng,儾𠶬㚂𡿝𢖧𦈃𧅺𧟘𨳆鬞齉
nang,囔
nāo,孬
náo,呶夒㞪峱嶩𡽧𡾂巎巙怓𢙐𢜸憹𢪼挠摎撓橈𣳦𤞍㺀猱𤡤獶獿𤫕𥐻𥑪硇碙䃩蛲蝚蟯詉𫍢䛝譊𧴓𨥸铙鐃𩖯𩫔䴃
nǎo,㑎𠊦𠡷匘垴𡍍堖㛴嫐𡿺𢅈𢉵恼悩惱憹𣭺𤊲𤋫㺁㺒獶獿瑙𤷻𥀮𥒢碯𦗮脑脳䐉腦膠𧩣䜀䜧𧳀𧳦𧴙𨱵𩛋𩤘𩩀𩫺𩬷
nào,婥𣧽淖澆𥆲腝腦臑鐃閙闹𩋈𩯆鬧
né,哪那
nè,呐㕯𢗉抐𣧍疒疔眲䅞䎪𧤜訥讷那䭆
ne,呐呢
néi,𠑚𠑛𢅼𨡌𡣢
něi,哪娞婑浽㼏𥡭脮腇那𩗔餒馁𩛞餧鮾鯘䲎
nèi,㐻內内𢁩𢛉㨅𣓃氝那錗𩬀
nèn,媆𡞾嫩嫰㜛恁枘㯎㶧腝臑𧮠𨈗
néng,𢆂㴰竜而耐能䏻𨃳
něng,𠹌螚𨶙
nèng,㲌
ńg,哽唔嗯
ňg,㕶嗯
ǹg,𠮾嗯
ng,唵
nī,呢妮
ní,𠆵倪兒𠒰呢𠽬坭埿𡎿妮婗尼屔㞾彌怩抳㪒棿𣢞𣭙泥淣㹸猊𤦤秜籾聣腝臡𦤽𦦃蚭蛪蜺䘦䘽觬䛏䝚貎跜𨋗輗𫐐郳鈮铌霓𩚯𩩢𩱄鯢鲵𩸦𩸧𩾆麑齯
nǐ,伱伲你儗儞呢㘈妳婗𡥦𡥨孴尼𢅟𢘝懝𢣚抳拟掜㩘擬旎昵晲柅檷𣡋泥濔瀰爾𤙌狔祢禰𥜦𥜬𥷄𦆦聻苨𦰫薿䕥𧃩䘦䛏譺𨀀鈮鉨鑈䦵隬𩉹𩋪𩍦馜𩯨𩰞𪏸
nì,伲倪匿𠱘𠸺埿堄𡎳𡞭嫟𡣁嬭嬺孨孴𡫸𡬗屰嶷㠜𢚮惄𢛜愵慝㥾㦐懝𢦱抐昵暱㮏𣘗氼㲻泥𣲷溺㵫濘灄痆眤𥄽𥇄睨䁥秜𥺜縌胒腻膩𦮾𧈞𧏾䘌𧖷䛏誽𧵼𧺰迡逆𨒫𨺙𨽦𩈢𩚮𩺝𩺱䵑䵒𪏵𪐌𪙛
niā,㖸
niān,拈捻𥺴蔫
nián,𠫺𠬋哖姩年溓秊䄭秥䄹粘𦷙𨚶䬯鮎鲇鯰鲶𩽴鵇䴴黏𪐇
niǎn,𠕟𠗋𠣇㜤㞋𡰫拈捵捻撚撵攆𣐏㮟涊淰𤁥焾痆碾簐𦭁䚓𧹞趁跈𨀀蹍蹨躎𨇍𨋚輦辇輾辗𨏛𨴞𨸱𩉄𩊫𪑮
niàn,卄唸埝姩𡝟廿念𣎔榐㲽𤽿𥮘𦁇艌𨢯䧔
niáng,娘嬢孃酿釀
niǎng,𪓃
niàng,𥽬䖆酿醸釀
niǎo,㒟𠒰𡘏𡝋𡝒嫋𡠿嬝嬲㜵尥㠡𢶑𢸣㭤樢𣟊𤲶䃵𥤂𥾇茑茮蔦袅裊褭䙚䦊𨽖䮍𩭑鳥鸟𪅝𩖔𪈼
niào,尿㞙㳮溺脲𨳀
niē,捏捻揑
nié,㡪𢫻𦡃苶𪌿
niě,𠈊鉨
niè,乜倪哪㖏㖕㖖啮喦𠶿嗫噛嚙囁囐囓㘝𡆣囡𡇄圼㘨㘿埝𡍤㙞㚔㜸孼孽𡰆𡴎峊𡶫𡸣嵒嵲嶭𡾦𡾲巕𡿖𡿗帇幸𢈸惗𢬴掜摰攝㩶敜𣀳𣌍枿棿㮆槷𣙗櫱𣯭𣰼泥涅湼㴪㸎𤭂𤴘痆𤶚𤷈𤸏𤺐䂼𥔄䄒䇣𥬞𥬬𥭙𥮤篞籋糱糵𦈙𦄌䌜䌰聂聶𦘒𦛠𦞆𦣀臬臲苶𦯖菍𦵐𧁈蘖𧋖蠥褹𧞍諗䜆讘𧻼踂踗踙蹑躡𨊞䡾𨙓鉩銸鋷錜鎳镊镍鑈鑷钀𨱺𨲀闑𨶠陧隉𨻄𩋏𩐭𩒕颞𩖁顳䭃𩣘䯅䯀䯵䳖𪌊𪎃𪎅齧𪘎
nín,𠽝囜恁㤛您䋻䚾䛘
nǐn,拰
nin,脌
níng,儜冰凝咛嚀嬣宁㝕寍寕寗寜寧𡫃𡷪拧擰攘𣍆柠檸㲰濘𤕦狞獰甯疑𤹧𤻝𥣗䆨𥧤聍聹𦡼苧薴𧃱䗿𧕝𧭈鑏䭢鬡鬤𫛢鸋
nǐng,拧擰橣矃𥳥𦡲䗿鑏𩕳
nìng,佞侫倿宁寧年㣷拧擰泞泥澝濘甯㿦䔭𧍖𧑗𧭈
niū,妞
niú,㖻怓汼牛牜㽱䒜𨷁𩲍𩵠
niǔ,𢔟忸扭𣅚杻𣧊沑𣲶炄狃㺲𥀝䂇𥍳𥝦紐纽䏔莥𧘥𨋀𨙺鈕钮𨳞𩈇靵𪏲
niù,抝拗䋴蚴𩙷𩚖𩜷
nóng,侬儂农哝噥憹檂欁浓濃㶶燶㺜癑𥂒禯秾穠脓膿莀蕽襛農辳𨑊䢉𨠤醲𨲳𩅽𩇔𩟊𪆯𪒬
nǒng,䁸繷䵜
nòng,𠌚𠘊咔弄挊挵癑齈
nóu,𠲴㝹𢉕𣻖𤟦𥀫羺𧂦𧃨𧅘譨䨲𩆟𩒔
nǒu,啂𡝦㜌𡨻𡭾㳶
nòu,嬬𢉚搙擩槈檽獳䅶耨䘫譳鎒鐞䰭𪋺
nú,仅奴㚢孥帑挐砮𥤨笯𥱂𧗈駑驽
nǔ,伮努呶𠴂弩𢪦𢫓擩𪺹𥅄砮胬𧉭
nù,傉㣽怒𢫭搙𥛑肭褥詉𧪅𧿔
nǘ,𦓕
nǚ,女籹胬釹钕
nǜ,女恧朒沑㵖狃𥄋𥍞絮𦓖聏䏔䖡衂衄䘐𧖷䚼𩈢䶊
nuán,奻渜濡
nuǎn,暖㬉暧渜湪煖煗臑䙇餪
nuàn,餪𪋐
nüè,婩疟𤷡瘧硸䖈虐䖋𨵫䨋
nún,黁
nùn,媆
nuó,㑚傩儺哪𠹈𡖔𡖫娜𡬥𡿊挪掉𢰜梛橠㰙𤘟𦡃㔮𦩜𨁌𨎭那郍難𩴓
nuǒ,𡖔㛂媠㡅𣃽𣆚橠袲袳𩈺𩷁
nuò,㐡呐㖠喏𠸱堧愞𢜪懦懧掿搙搦搻𢾲榒毭濡𥑽稬穤䇔糑𥻾糥糯𦀨𦂍耎䎠𦓢𧣚𧣺䚥诺諾蹃逽那锘鍩需
ō,喔噢
ó,哦
ǒ,嚄
ò,哦喔
o,喔筽
ōu,𠢔𠥝区區吽嘔𡂿𡈆塸𡩾慪摳敺𣂻樞櫙欧歐殴毆沤漚熰𤛐瓯甌𥈬𥱸䉱紆䌔膒蓲藲䙔讴謳醧鏂䥲䧢𩔸鴎鸥鷗
óu,𦂕膒齵𪙃
ǒu,偶㒖𠙶𠥝吘呕𠴰嘔𣢨㰶歐澫㸸㼴甌𤵎𥐂𥧆𥻑耦腢蕅藕𧖼𧪓遇𪊪
òu,呕嘔怄慪握𣉾㭝𣓕沤渥漚𣽕𤁮熰䌂𧏺𩀫𩥋
ou,嘔𡂿
pā,叭吧㕷啪妑㞎帊𣧜汃𣱺派𤆵皅𤽉𥐙𦐆舥芭苩葩䔤𧣃趴𨋐𩈆䯲
pá,扒把掱杷𣚒潖爬琶筢耙𧑡𧣣跁鈀钯
pǎ,𥩙
pà,帊帕怕汃袙𪗔
pāi,拍𣖐𦫖𩛇
pái,俳啡徘排棑椑𣝁牌犤猅箄𥱼簰簲𥴖脾𦩯輫䱝
pǎi,廹排迫
pài,𠂢哌𠸁𣏟㭛𣲖派𣴪渒湃㵒㵺𥯟𥿯𦔠蒎䖰𧵠鎃
pān,乑㐴姍㢖扳拌𢬵𢲔攀潘𤄜㽃番𤺏眅𥈼𥕿䆺籓畨萠賁
pán,卞𠽲媻審幋弁彦搫𣁦柈𣔚槃洀湴潘瀊瀋爿𤖭𤠍番𤻷皤盘盤𦪹𥈼𥉟磐䃑磻䃲䈲縏繁胖膰般蒰螌蟠褩跘踫𨂝蹒𨃞𨃟蹣鄱鎜䩔鞶䰉䰔𪄀𪒀𪒋
pǎn,坢盻𧺾闆
pàn,伴冸判半叛坢𡞟拚柈沜泮溿潘𤄧炍片牉畔番盼眫𢰿𥌊聁䏒𦙀胖袢襻詊𨒃鋬鑻頖鵥
pāng,乓𠗵𠦲𣂆汸沗滂牓𤵸磅肨胮䏺膀膖𦣂𧿆鎊雱䨦𩅅霶𩐨𪐿𪔔
páng,仿傍厐厖𡅃夆嫎尨庞龐𢐊彭彷徬㥬房方㫄旁榜𤧭磅䅭篣膀舽蒡螃𧔧蠭趽䠙逄逢𨜷雱𩃎髈鰟鳑龎
pǎng,嗙耪膀䒍覫髈
pàng,㕩炐𥪴肨胖𦜍𩈈
pāo,抛抱拋摽𢿏㯱𣟏㲏泡穮𦔩脟脬萢藨𩆘䫽鮑
páo,刨包匏咆𡂘垉㚿𡯈𡾌庖㯡𣮃泡炮炰爮𤔉狍瓟𥶔胞苞蚫袌袍𧙌褜䛌謈趵跑軳鉋鞄䩝𩎘𩎾𩐜颮𩗥麃麅𪊳
pǎo,𢾳𦐸跑
pào,𠣳嚗㘐奅𡧙𣕅㯡𣚇泡𣶐炮犥疱皰砲礟礮窌胞𦠖袌𨋛𨣙𩂞麭䶌
pēi,呸啡垺妚㚰怌抷柸𤬃㾦𥹂肧𦙂胚衃醅𩎜䯱𩵣
péi,倍坏培婄㟝掊棓㯁𣬆毰𣯱𤗏䏽𦸪裴裵𧳏𧴥賠赔𨓿𨛬䣙錇锫阫陪陫𩑢䪹䫊駍
pěi,俖𣍺琣
pèi,伂佩啡妃姵嶏𢁖帔㤄𢘀𢥐㧩攈斾旆昢柭棑沛㳈浿淠犻𤜲珮㾦𥄔䊃肺艴茇茷蓜蜚䟺辔轡𨙶配霈䩛𩖭馷
pēn,喷㖹噴𠽾歕濆
pén,𡺜汾湓瓫盆葐衯𪂽
pěn,呠翸
pèn,吩喯喷𠺔噴湓𩸂
pēng,亨匉嘭堋㛁𡼜㠮弸𢏳彭怦恲㥊抨㧸𢼩𢽩旁梈泙洴滂漰澎烹𤘾砰硑硼磞𥕱絣䍬胓𦚝苹𦯰荓軯輧𨑎逬𨠟䥋閛䦕𨺀駍𩱀𩱋
péng,倗傍傰𡂫堋塜塳㛔庄弸彭㥊憉挷搒朋棚椖榜槰樥㱶淜漨澎熢𤡭痭硼𥕱䄘稝竼篣篷纄膨𦪪芃莑蓬蘕𧌇蟚蟛𧚋𧴂𨂃輣𨍩䡫𨎧𨎳逢錋鑝𨲰䧛𩄦𩐛韸韼𩖛𩡕騯髼鬅䰃𩮗鬔鵬鹏䴶𪔍𪔔
pěng,倗剻𡗗𢪋捧摓𣨞淎皏䣙
pèng,掽椪𣟀𤖳㼞砰碰𥕽膨蓬踫𨅘閛䰃𩸀
pī,丕伓伾𠜱劈𠡄𠹦噼坏坯培妚𡛡𡲮帔𢓖怶悂𢞗憵批披抷㨢𢱧𢻹𢾱旇枇枈𣢋㱟𣬮𣬼炋狉狓𤬭𤱍痦𤿎𤿐砒磇礔礕秛秠䇑粃紕纰𦀘翍耚苤螕被𧙁𧧺𧪫豾辟邳𨤽釽鈈鈚鈹鉟铍銔錃錍䤵𨧦鎞闢霹䪹䫠駓𩣚䯱髬魾鮍𪄆𪉔
pí,仳㓟㔥卑𠨸啤𠵬埤壀奊媲𡦟岯𡶌崥庇𢇳庳批𢰘朇枇椑𣓋𣔬㮰𣖰㯅𣪉比毗毘𣬉毞焷𤘢𤘹𤜻狓猈琵㼰番疲𤷒𤼜皮𤿙𥤻笓𥯡篦篺紕𦃋𦊁罴罷羆肶脾腗膍𦨭芘𦳈𦹽蕃蚌蚍蚽蚾蜱螷𧑜𧓎蠯裨豼𧲺貔𧳼𧴉𨈚郫鄱鈹铍錍阰陂陴𨻀隦鞞頗𩗫𩫫魮魾鮍鲏䲹鵧𪄆𪊕𪌈䴽鼙
pǐ,仳劈匹吡否噽嚭圮𡊝𡛘𡺮嶏庀庇悂擗㱟比疋𤴣痞癖𤿇𥀘𥔁𦘩𦘲脴䑀苉𦰽䚰䚹諀𨑜䤏銢𨲐䫌𩔙䰦鴄
pì,俾僻副𠪮𠯔𠯭嚊埤媲嫓屁扑拂揊㨽𢾇㳪𣴪淠𣹚𣹮潎澼㵨濞𤂃𤖿𤘤𤚪甓㽬𨐴疈㿙睥稫𥱼罷䏘脾䑀䑄𦤢萆薜被譬𧾑䠘䡟辟釽鈲䤨𨵡𨵩𨸆闢䦼𨺤𩜰鷿鸊䴙𪇊𪖞𪛎
piān,偏㓲囨媥𢉞𢐃徧扁片犏㾫篇翩𧡤鍂𨲜鶣
pián,便𠐈𠑟𠷊㛹平徧𢕨扁楄楩璸㼐緶缏胼腁萹𦳄蝙𧍲褊諚諞谝𧱩賆跰蹁𨂯辯𨵸𨸇䮁駢骈騈骿𪘀𪚏
piǎn,𡎚覑諞谝貵
piàn,𠯯片㸤猵䏒辨騗騙骗魸
piāo,剽𠷻嘌𡢱𡣋彯慓摽旚漂犥瞟票縹缥翲𧌠螵謤𧽤𨮬𩗏飃飄飘𩙒驫魒𪅃𪋖
piáo,剽嫖朴𣝐瓢㼼薸䕯𨝓闝𩡦䴩
piǎo,彯㩠𣋳殍漂㵱㹾皫瞟篻縹缥膘𦭼莩蔈醥顠𩛞𩮳𪅃麃
piào,僄剽勡嘌嫖彯徱慓㬓𣳭漂潎瞟票䏇𩄷飃𩙒驃骠髟𩮳𪏫
piē,𠟈𠢪撇𢳂撆暼氕潎瞥𦒐𦗥蔽覕𩓼𩠿𩮳
piě,丿撇苤鐅䥕
piè,嫳𤮕
pīn,姘㡦𢣐拚拼𢬵𢶳砏礗𥖶穦䎙馪驞𩰗
pín,𠐺嚬𡛞姘娦嫔嬪㰋㺍玭琕矉𦇖薲蘋蠙𧔪𧭹𧮝貧贫𨏞𨽗頻频𩕵顰颦
pǐn,𠮰品榀𥑓
pìn,匕娉𣎳汖牝泵聘
pīng,乒俜堋娉𢖊涄甹砯砰𥪁竮𥭢𦀔聠𦥚𦥤艵䛣𨂲𩈚頩𩩍
píng,倗冯𠗦凭凴呯坪𡊞塀屏屛岼帡帲幈平𢆟慿憑枰檘泙洴淜㵗焩玶㺸㻂瓶𤭔甁𤳊硑秤䈂箳簈𥵪䍈缾胓𦚓苹䓑荓萍𦶊蓱蘋𧂋蚲蛢𧏑評评軿輧郱鉼𩂾馮鮃鲆𪋋𪔾䶄𪕒
pǐng,頩
pìng,𠗥𡊞䀻聘
pō,𠰼𠷑㗶坡𡊟岥𢂤㧊𣎵朴泊泺泼溌潑𤀪濼𤽌𥬒䍨翍𦫔𧘟𧙅跛𨠓酦𨡩醱釙钋鉕䥽𨫁鏺陂𨸭頗颇𩑼𩸿
pó,嘙婆𡼃巿㨇搫𢱨㩯櫇番皤䋣𦃡繁蔢𧂉謈𨅅鄱𩑻𩕏
pǒ,剖叵𠰐𠵳尀𡶆𡽠𣲳𤝯𤱍笸𥹖𧿽𨆵鉕钷頗颇駊𩢘
pò,哱𠾌奤㛘尃屰岶廹㤕𢶉敀昢𣍸朴𣬚泊洦溥烞𤖼猼珀皛𥄔破砶𥗟䄸𥵜粕𦍁䎅䎊𦐦𦑀𦑵𦒟膊𦥭𦥲蒪𦾕𦿍𧴤䞟𧻙𨂩𨍭𨑝迫䣪䣮酦醗醱釙䨰霸𩊀䪖䪙頗𩒕𩔈馞䯙髆魄
po,桲
pōu,剖吥娝捊𦵿𧠾䬌
póu,垺𢒷抔抙捊㧵掊㩠涪箁䎧𦥑𦺎裒襃錇𩔻𩚭䯽
pǒu,𠟌咅㕻哣培堷婄抱掊棓㰴犃瓿部䯽䳝
pòu,踣
pū,仆僕剥卜噗𡜵扑抪撲擈攴攵𢼹朴柨潽炇𤆝痡𤾣砲秿𥼜𦬙𧭎豧𧱹𨁏鋪铺陠䮒鯆𫚙䲕鵏䴆𪒢𪔿
pú,仆僕㒒匍圤墣𢈲𡰿扶捗樸㯷㲫濮𤗵獛㺪璞𤰑瞨𥐁穙𥣈箁䈬䈻纀脯䑑苻𦮑荹莆菐菩葡蒱蒲䔕蜅䗱襆贌𨛥酺鏷镤䧤𨽂𩪛𩯱鵏䴆𪋡𪖈
pǔ,𠽾圃圑埔普暜朴樸檏氆浦溥潽烳㹒甫𥐚𥛟䗱諩譜谱蹼鐠镨𩑀
pù,堡暴𣋏㬥曝瀑痡舖舗䗱𧙛𧦞鋪铺𩂗
pu,巬巭
qī,七𠀁倛傶僛𠎰𠐾𠔶凄吃喰嘁𡖾妻娸宿𡫁㠌恓悽㥓慼慽𢦽戚捿𢴰㩻攲𢻪𣉓㬤朞期𣏶柒栖桤桼棲榿槭𣛺欺㱦沏淒𣶠溪漆𤘌𤳃𤳤𥇚𥉐𥉷碕磎磜𥖫𥤥紪緀緝缉𦖊萋𦸓蛣𧋉䗁螇䗩𧒕𧕉褄𧠪諆諿踦蹊迉䣀郪䣛𨞢鏚䥓䥢霋𩒛䫏䫑魌𩺲鶈䳶𪄭𪅾鸂𪒆𪒑
qí,七丌𠁭亓亝𠅚伎俟倛𠓪其剘勤𠫸㖢圻埼奇𡦍𡪵岐岓㟓崎㟚㟢𡹉嵜𡺸𢁒帺幾𢍁𢍑忮忯愭懠𢩡扺技抵掑支𢺷㩽𢻋㩾𢻚𢾦𢾪斉斊旂旗枝棊棋㯦檱櫀㰗歧𣯆淇濝濟猉玂琦琪璂𤪌畦畸疧𤷍𤹸𤿡𥉙碁碕示祁祇祈祺禥禨䄢稘䅩䅲竒簱籏䉻粸𥼘綥綦綨纃耆𦔌肵脐䐡臍䑴艩𦫡芪荠𦭲䓅𦮼萁萕䓫𦸗蕲薺藄蘄蚑蚔蚚蛴𧌞蜝蜞螧𧎪蟣蠐𧓑衹褀𧡺觭𧯯𧰙䞚跂䟚踑𨉸軙軝䡋逗𨙸鄿釮𨥦錡锜𨪌鐖𨱜𨵎𨸒𨸔隑䧵𨾛䩓𩉬頎颀饑䭶䭼騎騏骐骑𩥂騹𩦋𩨝䰇鬐鬾鬿𩲪𩳣𩴪䱈鮨鯕鲯𩷾𩸞鰭鳍𩹵䲬𪀩鵸鶀䳢𪂛𪄖麒麡齊齐𪗅䶒𪗆𪗍𪗏䶞𪙧
qǐ,乞企㒅𠧒启呇唘啓啔𠴩婍屺岂𡵒𡷞崎𡹘𡺓己㠱𢺵啟敧㫓晵杞梩棨气玘㾨盀碕𥔩䄎䄫稽𥫟綮綺绮䋯𦄊䎢䏿芑䒻䔇𦸆𧘗袳𧙾裿觭䛴諬豈起𧼘跂䡔邔𨙬闙𩒨䭫䭬𩠦𩠨齮
qì,乞亟伎倛𠊔偈切刺吱呮咠唭𠴹噐器𡍪𡎫夡契妻𡢖㞓𡱔㞚𡹓𡹩𡻧𡻰𡽼弃𢍆𢔆㣬𢔠忔忾恝悽愒𢜱愾𢞒憇憩𢢖𢢞扢扱挈揭摖𢺵暣栔棄𣔘㮑㰟欫𣪠𣫱气気氣汔汽泣洓湆湇滊漬𣾤炁焏㼮甈甭𤺗𤼅盵䀙𥄜䁈䁉𥉻𥌁矵砌碛碶𥓾磜磧磩礘䅤䇍𥷇𥽳絜綦緝䌌𦈦罊䏅䏌肐𦘸𦙊䏠𦚊𦛰𦡹𦧉𦧯舙𦩣𦪊䒗芞葺䔾薺𧇜蟿𧘧𧙞𧚨䙄𧡘䚉䚍訖讫𧻕趞𧼕𧽓䟄趿跂䟷𨁐踖躩䢀𨊰迄𨑤𨒅䥛𨵆䩯䫔䬣𩧌𩨘䯥䰴𪔪鼜𥀻
qi,簯緕缼
qiā,佉𠜼𠝛𡤫㤉愘㧎抲掐𢮌揢搳擖𣘟𣣟葜袷䶗
qiá,𡘧拤䠍
qiǎ,價卡峠跒酠鞐䶗
qià,𠕣冾㓞㓣㓤𠜤𠝘咭𠳌圶客帢㡊恰愘挈𢼣𣁴楬㮫𣨄殎洽𤫶疴𤵹𥇌䁍𥉰𥎸䂒矻硈磍𥦞䈓𥴭絜𦝣𫈰𦸉䛩𧩶䨐𩥌䯊髂𩩱𩮁鮚𩷻䶝𪘺
qiān,仟佥僉𠑲兛𠔺𠠃千厱𠬾嗛㗔圱圲奷婜孅孯寨岍𢃥㡨幵㢛𢋔𢌍𢍱忏悭愆𢜩㥶慳𢧥扦拪掔揃搴摼撁㩃攐攑攓㩷㪠杄杴𣘝檶櫏𣟋欦𣢬𣢲汘汧熑牵牽𤠿瓩𤿷䀒𥏥磏𥜴𥡝䇂竏签箞𥱺𥲢簽䉦籤粁縴羥𦖎𦢙臤芊茾藖蚈𧘜𧛓褰𧟑𧢞諐謙谦谸𧮮𧲀䞿𧽐𨐋𨐩迁𨓲遷𨝍釺钎鈆鉛铅𨦄鋟𨨘鐱鑯開阡雃𩋆韆𩑟顅䫡騫骞𩦊𩨓𩪢鬝鬜鳽鵮鹐鶼𪇇𪉻
qián,乾仱偂前㓺𠢍𠷁墘𠀼媊岒𢁮忴㦮扲拑掮揵㨜撍㩮㪁朁柑榩𣖳橬欦歬涔湔漸潛潜濳灊灒煔燂燖㸫犍玪䁮𥔮䅾筋箝𥮒䈤𥴤𥷪𦂒羬腱䐶荨葥葴𦴑蕁𦼓䕭𧃑虔䖍蚙𧣑赶軡𨜻鈐钤𨥞鉆鉗钱钳銭錢鍼𨱫𨺩𨽨靬𩎖馯騚騝𩨃𩨊𩬚鰬𪈇黔黚𪑙
qiǎn,𠊭𠋵凵唊𠳋嗛𡒌嵰忏慊㦿㧄𢮄撖𣓅槏歁浅淺㹂𥦃𥧬䇜𥳐𦅋缱繾肷𣍰脥膁蜸𧥛𧪯谴譴遣𨗦䤘鑓𨺫𩑳𩒣顩䭤齦𪘦
qiàn,㐸俔倩傔儙刋嗛堑塹壍㜞嬱嵌㟻𢂺𢃘廞悓慊撁㪁㪠棈椠槧㯠欠𣢖欿歉淒𣹥牽𤬯皘䇜篏篟䈴䊴纤綪縴艌䑶芊芡茜蒨蔳𧚫𧮽輤遣錎䥅𨰂䦲䪈䫡䭑鰜䵖䵛
qian,籖鎆鏲
qiāng,創呛哐啌嗆嗴𡬎将將𡺛嶈𢈵慶戕戗戧抢控搶斨枪椌槍𣫝㳾溬牄猐獇玱瑲㾤矼箐篬羌羗羫腔𦯤𦳟𧇞蜣謒𧱡𧽩跄跫蹌蹡𨄚䤌錆锖锵鎗鏘鏹镪𨶆𩚕𩣼𩩝𩿄𪁸鶬𪎞𪙎
qiáng,墙墻嫱𡠥嬙𡸤廧𢏄強强彊𢧅㩖樯檣漒丬爿𤕽牆艢蔃蔷薔蘠𧖑𧭚𩼒
qiǎng,勥墏㛨強强彊𢐩抢搶槍㱿𥇉𥓌𥶑繈繦羟羥襁鏹镪
qiàng,呛唴嗆𠼢戗戧搶摪炝熗𥴻羻𦷦跄蹌蹡鎗䵁
qiāo,𠏖劁喿𡌔塙墝墽𡩇嵪㡑幓𢄹幧𢐟㤍悄𢮉搞摮𢻤敫敲㪣𢿣𣂁𣂇𣂥校𣖄橇橋橾𣜽𣟼𣦜毃毳燆㺒𤴀𥉾硗䂭碻磝磽礉𥟅窯繑𦅃繰缲蕉趬跤跷𫏋踍𨃤蹺蹻郻𨜑鄗鄡鄥𨞶銚鍫鍬锹鏒鐰䦒雀鞽頝䫞𩖇𩨟骹䯨䵲
qiáo,乔侨僑劁喬嘺墧嫶㝯𡰑峤嶠𢘟憔招𢻤桥槗樵橋𣯹潐焦燋犞癄𥁢䀉睄瞧硚礄𥪯翘翹䎗荍荞菬蕉蕎藮𧄍蟜䚩譙谯趫𨅣𨝱醮鐈䩌鞒鞽顦驕䱁
qiǎo,丂㚽𡺘巧㤍悄愀愁𢩨䂪磽𥹶𦢺釥𨸑雀髜䲾
qiào,俏偢僺削嘺噭𠿕墝墽㚁壳𡰐峭帩㢗悄捎撬撽𢶡𣒆殻殼㴥𣹝𣺰𥀣硝䃝磽礉窍䆻竅䇌箾翘翹茭𧣌誚诮譑譙谯踃蹺躈𨜍陗鞘鞩韒顤髚𪑊
qiē,𠋧切𡛠㛗𥕑脞苆
qié,伽㚗𡘍𡶐癿聺茄䠍𨚧䦧
qiě,𠀃且跙
